,content,score,content_clean
360,"Kepada Instagram yg sering Sy pakai, Bisa tidak Update nya tuh bisa Salin atau copy atau edit komentarnya di Adakan..!! Ga usah filter² yg ga jelas diperbanyak. Sy komen udah serius², taunya ada bagian tulisan yg salah, di copy ga bisa apalagi di edit, ujung²nya di Hapus udah. Update ya APK nya, kalo udah Sy kasih Bintang 5. Sekian Terimagaji .",2,instagram pakai update nya tuh salin copy edit komentar adakan filter banyak komen serius tau tulis salah copy edit ujung nya hapus update ya apk nya kasih bintang sekian terimagaji
91,"Aplikasi nya udh bagus si tapi tolong bug nya di ilangin mau bikin catatan tapi gak ada lagu nya apalagi tulisan nya ""lagu mungkin tidak tersedia di semua negara"" Tolong di perbaiki!!",2,aplikasi nya bagus si tolong bug nya ilangin bikin catat lagu nya tulis nya lagu sedia negara tolong baik
235,"ini bagaimana akun utama saya tidka bisa repost story full screen, saya sudah melaporkan masalah ke pihak instagram melalui fitur ""laporkan masalah"" tetapi tidak ada perubahan sama sekali masih sama saja, sudah saya coba hapus data install ulang aplikasi tetapi masih tidak bisa repost full screen, di akun saya yang lain padahal bisa full screen kalau repost story",1,akun utama tidka repost story full screen lapor instagram fitur lapor ubah coba hapus data install ulang aplikasi repost full screen akun full screen repost story
465,"Ga bisa di buka, ngebug, memori aplikasi udah di hapus tp kembali lagi, suruh perbarui tapi udah pembaharuan baru masih ngebug ga bisa di buka. Tolong ini gimana ceritanya, kenapa nih",1,buka ngebug memori aplikasi hapus suruh baru baharu ngebug buka tolong cerita nih
259,Saya ngamuk kesal kecewa berat.. Jangan ganti update baru terus mulu.. Lama penting bagus tetap gak apa-apa.. Instagram buka klik tidak bisa ganti update baru mulu kecewa berat.. Ganti update susah.. Aku gak senang jelek update instagram.. HP penyimpanan penuh 🤦🏻‍♂️ kesal.. Beri ulasan kasih bintang 1 ⭐,1,ngamuk kesal kecewa berat ganti update mulu bagus apaapa instagram buka klik ganti update mulu kecewa berat ganti update susah senang jelek update instagram hp simpan penuh kesal ulas kasih bintang
404,Tolong perbaiki lagi karena sering nge bug ketika sudah keluar aplikasi tapi suara/sound masih jalan di luar aplikasi. Sangat mengganggu,2,tolong baik nge bug aplikasi suarasound jalan aplikasi ganggu
34,"Instagram kenapa ya makin update makin banyak banget bug yg terjadi. Seperti contoh saat ingin menggunakan filter instagram, filter tersebut blur dengan sendirinya dan tidak ada alasan jelas mengapa filter tersebut blur sendiri. Tolong diperbaiki bugnya , Saya sebagai pengguna Instagram merasa kecewa! . Dan sampai saat ini pun jika saya menggunakan filter masih BLUR. Tolong banget di perbaiki.",1,instagram ya update banget bug contoh filter instagram filter blur alas filter blur tolong baik bugnya guna instagram kecewa filter blur tolong banget baik
416,"Tolong ini efeknya kok jadi ngeblur di muka, kalo emang gara gara HP nya mendukung tapi hp punyak temen saya bisa. Saya udah coba berbagaii cara dari hapus data smapek ke uninstall apkl tapi tetep aja efeknya gak bisaa. Tolong dong kok gak bisa di pakek lagi efeknya",4,tolong efek ngeblur muka emang gara gara hp nya dukung hp punyak temen coba bagai hapus data smapek uninstall apkl efek bisaa tolong pakai efek
402,"Aplikasi lumayan tapi kadang ada yang eror, kadang suka gak jelas kalo apload foto pake musik suka ilang sendiri gak kesimpen Tolong di perbaiki lagi Terimakasih 🙏",4,aplikasi lumayan kadang eror kadang suka apload foto pakai musik suka hilang kesimpen tolong baik terimakasih
68,"Tolong ada filter nya. Jadi bisa memilih, mau lihat postingan foto, video, reel atau suara saja. Kalau ada filter nya sungguh sangat membantu. Kualitas video unggahan untuk reels jelek. Padahal kualitas video aslinya cukup bening. Postingan foto yang sudah diunggah tidak bisa diedit, ditambahkan musik.",4,tolong filter nya pilih lihat postingan foto video reel suara filter nya sungguh bantu kualitas video unggah reels jelek kualitas video asli bening postingan foto unggah edit musik
160,"sangat burukk fitur baru pada saat ingin repost cerita orang tidakk bisa digunakan pada akun saya pdhl sudah diupdate berkali"" dan sudah logout login akun berkali"" sudah membuat laporan tpi sm aja tdk ada gerakan dan perubahan dari pihak instagram aplikasi berkembang tp mslh sepele gini ga bisa teratasi TOLONG PERBAIKI AKUN SAYA",1,burukk fitur repost cerita orang tidakk akun diupdate kali logout login akun kali lapor gera ubah instagram aplikasi kembang sepele atas tolong baik akun
220,"semakin buruk saja, banyak bug, contohnya layar macet dan berkedip saat video call menggunakan filter, padahal buat lain aman aman aja.",1,buruk bug contoh layar macet kedip video telepon filter aman aman
125,"Banyak banget bug nya ntah itu lagu nya beberapa engga adalah, geser story engga ada animasi lah tiba tiba akun keluar semua lah dan masi banyak lagi jujurly kecewa banget sama instagram yang sekarang semoga kedepannya bisa lebih baik, trims.",1,banget bug nya ntah lagu nya geser story animasi akun jujurly kecewa banget instagram moga depan trims
431,"Makin diupdate bukannya makin up malah makin down, harusnya itu semakin bagus ini malah nge bug,dan filternya pada ngedouble efek gitu Tolong lebih diperbaiki lagi teruntuk pihak Instagram",2,diupdate up down bagus nge bugdan filter ngedouble efek tolong baik untuk instagram
413,"tolong sangat amat tolong!!!!! kepada pihak instagram, ig ku sekarang gabisa buat catatan, isi musik juga, terus kalo mau buat story gabisa cari lagu lokal Indonesia seperti umumnya tolong perbaikannya segera!!!",5,tolong tolong instagram ig ku catat isi musik story cari lagu lokal indonesia tolong baik
323,"Bug gak bisa liat viewers story, biasanya saya posting story langsung ada jumlah penonton, ini sampai 10 jam tidak ada yang muncul, story sudah saya publik(bukan privat), aneh si",1,bug lihat viewers story posting story langsung tonton jam muncul story publikbukan privat aneh si
435,"Belakangan ni ig aneh bgt sumpah. Viewers sg sring ga muncul, ga bisa diliat. Bbrp kali post story, bisa²nya dlm wktu 3 jam stlh post bner² gaada viewers pdhl followersku 694 dan biasanya itu dlm jarak waktu 2 menit aku post sg–sudah slalu ada yg liat. Itu realistis lah krn emg kenyataannya kan stiap detik psti ada yg buka medsos.. Nah ini, 3 jam gaada stupun yg liat? Gak masuk akal woiii. Tauk dah, males bgt dg bug aneh2nya ni",2,ni ig aneh banget sumpah viewers sg muncul kali post story bisa nya jam post bner viewers followersku jarak menit post sgsudah lihat realistis emang nyata detik buka medsos jam stupun lihat masuk akal woiii tauk malas banget bug aneh ni
392,"kok jadi gini sih kamera instagram nya kalau dipakai efek nya jadi buram gini, tolong dong pihak Instagram diperbaiki lagi kualitas nya makin lama makin gawur aja!!! sangat tidak berkelas",1,sih kamera instagram nya pakai efek nya buram tolong instagram baik kualitas nya gawur kelas
398,"makin gada kualitas ni Instagram, makan memori doang di gedein, fitur makin kesini makin jelek, filternya blur sndiri, coba dong diperbaikin kalo makin jelek makin dikit peminat nya.",1,kualitas ni instagram makan memori gedein fitur kesini jelek filter blur coba diperbaikin jelek minat nya
420,"halo , kenapa saat mau save foto untuk update story tidak bisa + loading nya lama. tapi kalau save video cepat, cuman saat diliat hasilnya dia malah seperti lag. tolong di bantu, terimakasih 😁",2,halo save foto update story loading nya save video cepat hasil lag tolong bantu terimakasih
133,"Tolong dong pihak developer perbaiki bug setelah photo di ig menggunakan filter / tidak menggunakan filter, foto nyaa ga kesimpan ke Gallery, dan itu menimbulkan perjengkelan. jangan mau enak nya aja dong, bug diperbaiki, diperbagus lagi sistem nya",1,tolong developer baik bug foto ig filter filter foto nyaa simpan gallery timbul jengkel enak nya bug baik bagus sistem nya
145,"Untuk konten yang saya suka selalu muncul dan itu salah satu hal yang saya sukai, namun yang saya tidak sukai kenapa belakangan ini reels saya muncul meme background pemandangan, padahal dulu sering lewat tuh meme luar di reels dan satu lagi ini gk tau bug atau apa, aku post story udh 2 jam dan baru 3 orang yg liat storyku, biasanya 2 jam udh puluhan orang liat",3,konten suka muncul salah suka suka reels muncul meme background pandang tuh meme reels tau bug post story jam orang lihat storyku jam puluh orang lihat
186,"Parah sih.. masa tiba2 gak bisa di klik instagramnya. Malah eror.. ""malah mengubah ke bahasa indonesia"" tapi lamaaaaa banget. Gak keubah2 malah loading terus. Tolong di perbaiki dong. Kalau emang gak di perbaikin biar aku apus akun aku. Biar gak main2 ig lagi.",1,parah sih klik instagramnya eror ubah bahasa indonesia lamaaaaa banget ubah loading tolong baik emang perbaikin biar apus akun biar main ig
345,Saya memberi bintang nya 2 karna saya kecewa sama efek instagram nya jadi efek ny itu kaya blur gitu saya sudah mendownload 2 kali tapi tetep efek nya kaya gitu-gitu aja gak berubah sama sekali jadi tolong untuk di perbaiki lagi efek nya,2,bintang nya kecewa efek instagram nya efek ny kaya blur unduh kali efek nya kaya gitugitu ubah tolong baik efek nya
213,"Pas mau buka ig bertuliskan muat ulang,keterangannya sistemnya sedang di perbaharui kaya gt mulu berhari"",giliran di coba di uninstal mau masuk ig masih muat ulang mulu.nyoba download ig lite bisa lgsg masuk tp g bisa pake filter kaya yg ig biasanya..",1,pas buka ig tulis muat ulangketerangannya sistem baharu kaya mulu berharigiliran coba uninstal masuk ig muat ulang mulunyoba download ig lite langsung masuk pakai filter kaya ig
359,Maaf kok ini filternya ngeblur semua??akhir² ini pake filter dari Ig malah ngeblur mulu gimana ya?tolong diperbaiki dong jadi gak bisa foto wkwk.Kalau udh dibenerin saya kasih bintang 5 nantinya.Agak kesel karena semua filter yg ada lipstik nya mungkin hampir semua ngeblur,1,maaf filter ngeblur semuaakhir pakai filter ig ngeblur mulu yatolong baik foto wkwkkalau dibenerin kasih bintang nantinyaagak kesel filter lipstik nya ngeblur
232,"Ngga jelas bangettt, filter Ig malah pada buram, saya udah coba perbarui, uninstall aplikasi trs instal lagi ttep aja masih kaya gitu. Tolong diperbaiki masalahnya!!!",1,bangettt filter ig buram coba baru uninstall aplikasi instal ttep kaya tolong baik
380,"Instagram saya tiba2 mati ini,harus muat ulang teruss padahal tadinya aman2 aja... udah di uninstall tetap saja tidak dapat di gunakan apakah memang dari pihak pusat yang mematikan Instagram ya😭😭😭tolong balasan bagi yang sama seperti saya😭",1,instagram mati iniharus muat ulang teruss aman uninstall pusat mati instagram yatolong balas
141,"tolong diperbaiki!!! fitur nya sulit digunakan,filter jadi blurr semua,, sdh ditunggu 2 minggu lebih kirain bakal balik trnyta smpe 3 bneran ga balik jdi gabisa fto pke filter instagram..sudah upgrade 2 kli pun ttep gabisa . segera perbaiki pliss",1,tolong baik fitur nya sulit digunakanfilter blurr tunggu minggu kirain trnyta bneran fto pakai filter instagramsudah upgrade kli ttep baik pliss
304,"Ini gmna sih kok jadi kalo pake filter blur semua..kirain tu karena hp aku nya ..ternyata semuanya gitu yaa ,tolong dong kak gmna solusinya ,semakin di-update semakin jelek siih,maaf yaa ka sebelumnya tapi tolong dong kasih solusinya agar aku bisa balik LG gunain fitur ini LG 😭",1,sih pakai filter blur semuakirain hp nya yaa tolong kak solusi diupdate jelek siihmaaf yaa ka tolong kasih solusi gunain fitur
372,"Ada apa dengan Instagram. Filter buram dan tidak bisa digunakan, tolong perbaiki kesemula wahai Instagram.",1,instagram filter buram tolong baik mula instagram
292,"kenapa sih gak bisa masuk dan tertulis ""halaman ini tidak tersedia"" mungkin ini kesalahan teknis yang kami perbaiki, coba muat ulang ulasan ini. tapi ko perbaikan lama amat dah seminggu lebih gak bisa masuk, kecewa untung ada instagram lite alhamdulilah bisa. tanks instagram lite",1,sih masuk tulis halaman sedia salah teknis baik coba muat ulang ulas ko baik minggu masuk kecewa untung instagram lite alhamdulillah terimakasih instagram lite
233,Terlalu banyak bug contohnya saat buka reels akan terjadi freeze yang dimana tampilan antar muka aplikasi tersebut tidak bisa di gerakan tetapi ketika kita masih mendengarkan suara dari aplikasi tersebut,1,bug contoh buka reels freeze mana tampil muka aplikasi gera dengar suara aplikasi
250,"semakin di update semakin jelek ni instagram, setiap buka story selalu ngelag dan begitu jga setiap post story selalu menghilang(pdhl udh di post), setiap nyari lagu selalu gaada, pdhl sebelum di update lagu ny udh ada, selalu ngelag pas awal masuk ig, setiap mau simpan video trus ditambah fitur musik selalu suara nya gaada, dan setiap liat video story/reels selalu ngelag sama patah², sumpah instagram semakin di update malah semakin jelekk, nyesel gw download ni apk",1,update jelek ni instagram buka story ngelag post story menghilangpdhl post nyari lagu update lagu ny ngelag pas masuk ig simpan video tambah fitur musik suara nya lihat video storyreels ngelag patah sumpah instagram update jelekk sesal download ni apk
497,"Semua Sudah Bagus, Tetapi saya sedikit kecewa karena filter yang yang saya gunakan menjadi blur di muka saya. Padahal saat saya menyimpannya dulu tidak seperti itu, saya harapa pihak instagram bisa menindak lanjuti",3,bagus kecewa filter blur muka simpan harapa instagram tindak lanjut
444,"Di update malah makin parah filter gak bisa di pake blur blur gitu jadi kesel ku kira telat update..., ternyata pas di update tetap aja gitu.. Tolong di perbaiki",2,update parah filter pakai blur blur kesel ku telat update pas update tolong baik
335,"Aplikasi banyak bug, entah kenapa semenjak ganti developer ni aplikasi malah makin rusak bajing4n, bug ada di mna², mau login ke akun aja disuruh coba lagi melulu pdhl sandi/nama sdh benar, mau sampai kapan ni aplikasi rusak??? Tolonglah diperbaiki lu Dev baru jangan malah nambah ngerusak aplikasi tolol, kalo ga bisa ngebenerin nya ya gaush pegang Instagram kalo gitu, developer taiiiiii",1,aplikasi bug semenjak ganti developer ni aplikasi rusak bajingn bug mna login akun suruh coba melulu sandinama ni aplikasi rusak tolong baik dev tambah rusak aplikasi tolol ngebenerin nya ya pegang instagram developer taiiiiii
131,"Ini lagi knp sih ig ga bisa di buka dari pagi ""halaman tidak tersedia"" di suruh muat ulang tp ttp ga bisa2 & musik nya jga skrg musik luar semua lagi mau cari lagu apa2 tidak di temukan walaupun lagu luar negri jga kan aneh tolong Instagram di perbaiki lagii",1,sih ig buka pagi halaman sedia suruh muat ulang ttp musik nya musik cari lagu temu lagu negeri aneh tolong instagram baik lagi
483,"Kecewa banget sama hasil nya setelah aku update malahan fiternya ngeblur dan gak nyatu sama muka. Kirai udah di update tdi nambah bagus eh malah ngecewain udh di update kenapa jdi blur dan jelek. Nggak suka sama ig yg sekarang, tolong di perbaiki 🙏🙏",1,kecewa banget hasil nya update fiternya ngeblur nyatu muka kirai update tambah bagus eh ngecewain update blur jelek suka ig tolong baik
152,"Kenapa tidak biasa search lagu di story, liat story ig kalo ada lagi tulisnya not found, udh beralih akun profesional ke akun pribadi biasa tetap tidak bisa, update malah makin ga jls mau liat story aja lama bngt padaha jaringan bagus atau kadang story malah keulang ulang lagi padahal udh di lihat beberapa jam yang lalu",1,search lagu story lihat story ig tulis not found alih akun profesional akun pribadi update lihat story bngt padaha jaring bagus kadang story ulang ulang lihat jam
120,"Musik yg disediakan dan di pakai di postingan sering menghilang , diganti musik lain tetap tidak bisa dan jd bisu , ga seru . kasih opsi ganti musim dong klo musik lama dibisukan.",1,musik sedia pakai postingan hilang ganti musik bisu seru kasih opsi ganti musim musik bisu
298,"Setelah di update filter di Instagram jadi berubah blurr semua saya merasa kecewa sudah beberapa kali coba uninstal dan instal lagi tetep sama,saya harap Instagram segera memperbaiki lagii",2,update filter instagram ubah blurr kecewa kali coba uninstal instal samasaya harap instagram baik lagi
456,"Saya kasih bintang 2 dulu. Karena, ketika saya ingin membuat cerita, tapi kenapa tidak ada buat lagunya. Apakah itu sudah di hapus?? Waktu itu ada, buat cerita masih ada yang buat lagunya, tapi ini sudah gak ada. Tolong di kembalikan",2,kasih bintang cerita lagu hapus cerita lagu tolong kembali
430,"kamera Instagram kok blur ya, anehnya blurnya wktu pake filter doang. klo ngga pake aman aja, aku kira emg dr hpku yg bermasalah. ternyata cuman kamera ig doang, tolong kejelasannya kalau mmg lagi ada error dr sananya? trmksh apakah tidak ada konfirmasi lebih lanjut?",1,kamera instagram blur ya aneh blurnya pakai filter pakai aman emang hpku masalah kamera ig tolong jelas error sana trmksh konfirmasi
129,"Makin aneh makin ga jelas!! Dasar! Kesel bener sy makin lemot loh Instagram tu sekarang,lodingnya lama bener kadang juga pas mau masuk Instagram cuma gambar logo doang sampe lama banget nungguin kadang ngga kebuka sampe ku ulang ulang akhirnya bisa,tapi ya lama banget..jd kalo pas darurat kan jd bingung",1,aneh dasar kesel bener lot loh instagram sekaranglodingnya bener kadang pas masuk instagram gambar logo banget nungguin kadang buka ku ulang ulang bisatapi ya bangetjd pas darurat bingung
492,Kenapa Instagram saya efek/filter nya tidak bisa di pakek/ ngeblur di semua efek/filter padahal saya sudah pakek Instagram selama 3 tahun lebih dan baru baru ini efek nya ngeblur di bagian muka semua ada apa😌,1,instagram efekfilter nya pakai ngeblur efekfilter pakai instagram efek nya ngeblur muka
116,"Rekomendasi reels nya makin nggak relevan, udah di atur konten2 yg sekiranya ga relevan tapi masih muncul lagi, algoritma reels nya bener2 ngaco, fungsi konten yg tertarik sama ngga tertarik ga ada guna, ujung ujungnya konten yg muncul masih konten yg ngga relevan.",1,rekomendasi reels nya relevan atur konten relevan muncul algoritma reels nya bener ngaco fungsi konten tarik tarik ujung ujung konten muncul konten relevan
209,"ini knp sih mau foto buat story tpi filter smua nya kayak ngebug ngeblur gitu semua.semenjak di update malah makin jelek,tolong dong para ig kembaliin seperti semula,syg bnget bkn cma saya yg gitu msi bnyak lagi org'yg gitu,bkn cma filter nya yg rusak tpi ad bbrp jga yg rusak",1,sih foto story filter nya ngebug ngeblur semuasemenjak update jelektolong ig kembaliin semulasyg bnget cma msi bnyak orgyg gitubkn cma filter nya rusak rusak
17,"makin update makin banyak bug yang terjadi. seperti contoh saat ingin memakai filter instagram, filter tersebut blur dengan sendirinya dan tidak ada alasan jelas mengapa filter tersebut blur sendiri. Tolong diperbaiki bug nya, saya sebagai pengguna Instagram kecewa!",1,update bug contoh pakai filter instagram filter blur alas filter blur tolong baik bug nya guna instagram kecewa
480,"Assalamualaikum , maaf ni ya kok saat saya buka aplikasi Instagram saat mau ft filter dari yg biasa saya gunakan kok jadi error dan dan nggak bisa di gunain , maaf ya tolong di perbaiki lagi aplikasi nya, trimakasih🙏",1,assalamualaikum maaf ni ya buka aplikasi instagram ft filter error gunain maaf ya tolong baik aplikasi nya trimakasih
329,"Sebelumnya menggunakan filter di Instagram story tdk ada masalah, sekarang filternya tidak mau menyatu dengan dan blur. Tolong Instagram segera atasi masalah diatas.",2,filter instagram story filter satu blur tolong instagram atas atas
245,"Filter ig nya jadi blur udh seminggu, udh di coba berbagai cara biar bisa balik lagi kaya awal tapi malah ttep aja blur, tolong dong diperbaiki ini gmna si, pdahal udah nyaman foto2 di ig malah jadi kaya gini 😌",1,filter ig nya blur minggu coba biar kaya ttep blur tolong baik si nyaman foto ig kaya
90,"Benar-benar mengecewakan! Music kehilangan filtur (yang tanpa tulisan), tidak ada notifikasi di massage serta musicnya. Sudah di update dan di hapus ulang selama 5x tetap tidak ada perubahan. Sudah di beri akun profesional dan di alihkan di akun pribadi juga tetap tidak bisa. Sudah minta bantuan tapi tidak di spak up. INTINYA AKUN INSTAGRAM YANG SEKARANG SETELAH UPDATE TIDAK ADA PERKEMBANGAN YANG BISA DIBANGAKAN! JELEK DAN JUGA TIDAK BERFUNGSI!!!",1,benarbenar kecewa musik hilang filtur tulis notifikasi massage musicnya update hapus ulang x ubah akun profesional alih akun pribadi bantu spak up inti akun instagram update kembang dibangakan jelek fungsi
87,"Gak jelas, makin update makin aneh, masa saya ngepost foto 2 slide pake lagu dulu bisa sekarang malah gak bisa alhasil postingan nya jadi garing karena gak ada lagu, masa harus 1 foto dulu baru ada lagunya udah bener kaya dulu bisa ada lagunya, mendingan cepet cepet balikin deh fiturnya!!!",1,update aneh ngepost foto slide pakai lagu alhasil postingan nya garing lagu foto lagu bener kaya lagu mending cepat cepat balikin deh fiturnya
138,"Kecewa bangat tiba tiba, filter nya buram di muka Sering bug juga , banyak juga fitur-fitur nya yg udh mati Trs klo live suka blur trs ngelag mati Pdahl sinyal bagus, tolong di perbaiki lagi panorama filternya",1,kecewa bangat filter nya buram muka bug fiturfitur nya mati live suka blur ngelag mati pdahl sinyal bagus tolong baik panorama filter
69,"kemarin masalah musik, sekarang filternya buram/blur di wajah. sungguh instragram sekarang makin nggk jelas, pada males makai instagram. mau salahin kamera tapi fot biasa atau kamera tiktok jelas tidak blur/buram. SANGAT MENGECEWAKAN SEKALI!",1,kemarin musik filter buramblur wajah sungguh instragram malas pakai instagram salahin kamera fot kamera tiktok blurburam kecewa
379,"kenapa untuk akun pertama saya sangat susah memposting cerita? selalu saja tidak bisa dan gagal. berbeda sekali dengan akun kedua saya yang dengan mudah memposting cerita dan postingan tanpa ada masalah sama sekali. tolong solusinya dong udah coba banyak cari dari upgrade, hapus apk unduh ulang, matiin hp tetap saja tidak bisa.",1,akun susah memposting cerita gagal beda akun mudah memposting cerita postingan tolong solusi coba cari upgrade hapus apk unduh ulang mati hp
207,"Hallo instagram saya memiliki kendala dalam fitur filter di kamera instagram saya yang ketika menggunakan filter di instagram hasilnya selalu buram atau ngeblur. Sementara untuk penggunaan kamera instagram tanpa filter tidak terjadi seperti itu. Mohon untuk bantuannya memperbaiki masalah Instagram saya ini, terima kasih🙏",1,hallo instagram milik kendala fitur filter kamera instagram filter instagram hasil buram ngeblur guna kamera instagram filter mohon bantu baik instagram terima kasih
389,"Ada bug nya,di mana kalau ripos story satu kali ketukan full screen ngga bisa,tapi akun yg lain bisa,tolong di perbaiki yah!.",2,bug nyadi ripos story kali ketu full screen bisatapi akun bisatolong baik yah
88,"kenapa filter Instagram aku kalo mau dipake filtere ga menyatu sama muka malah keliatan serem,tolong di perbaiki lagi dong fiturnya, aku ngalamin ini udah lumayan lama seminggu lebih filter ig nya ga berubah2!!!sebagai pengguna Instagram saya sangat tdk suka dan tdk trima dengan filter Instagram yang sedang bug seperti sekarang ini",1,filter instagram pakai filtere satu muka seremtolong baik fiturnya ngalamin lumayan minggu filter ig nya berubahsebagai guna instagram suka trima filter instagram bug
30,"Tampilan temukan orang/saran orang sangat mengganggu saat mode privasi. Tolong di upgrade agar tidak muncul atau ada pengaturan sembunyikan secara permanen tanpa harus klik tiap masuk akun. Juga algoritma ig sialan, semakin tidak menyukai semakin muncul postingan2 menjijikan.",1,tampil temu orangsaran orang ganggu mode privasi tolong upgrade muncul atur sembunyi permanen klik masuk akun algoritma ig sial suka muncul postingan jijik
324,"Instagram makin error ni upload story udah 3harian ga ke upload padahal jaringan lancar. story nya di hapus juga gak bisa masih loading mulu log out pun juga gak bisa, di refresh udah di update udah terus connect ke wifi juga udah",1,instagram error ni upload story hari upload jaring lancar story nya hapus loading mulu log out refresh update connect wifi
253,"Bagus banget apk nya, tapi tolong perbaiki lagi yaaa, padahal pengen banget klo kita bikin video ada musiknya, eh pas di simpan dan langsung lihat di galeri gak ada suara nya, jadi tolong banget perbaiki lagi, apk nya sangat sangat memuaskan 😊",5,bagus banget apk nya tolong baik yaaa banget bikin video musik eh pas simpan langsung lihat galeri suara nya tolong banget baik apk nya muas
227,"Kecewa kenapa filter ig jadi blur semua, kecuali yang tidak ada gambar""nya tolong di perbaiki sama saya sudah di update kok masih sama tolong sangat di perbaiki.",2,kecewa filter ig blur kecuali gambar tolong baik update tolong baik
12,"semakin hari, semakin di update, semakin loadingnya LAMA BANGET, baik DM, simpanan postingan, buka story sampe ditinggal tidur cok masih loading lama banget kambing, kebanyakan fitur namun juga banyak bug. Musik TIBA-TIBA HILANG. Kamera nya apalagi ya allah tiba-tiba hitam, gajelas. Bagi pengguna HP ram 3, play reels vidio yang HD suka lag lag. Saran saja, tidak usah menambah fitur lagi ini lah itulah. kebelet dibilang sempurna ujung²nya fail. Ingat, yang sempurna hanya Allah SWT.",1,update loadingnya banget dm simpan postingan buka story tinggal tidur cok loading banget kambing banyak fitur bug musik tibatiba hilang kamera nya ya allah tibatiba hitam guna hp ram play reels video hd suka lag lag saran tambah fitur kebelet bilang sempurna ujung nya fail sempurna allah subhanahu wata ala
218,"Kecewa banget , kenapa foto di Instagram tidak bisa masuk ke galeri secara langsung, walaupun masuk lama sekali beberapa jam kemudian , semua sudah saya coba tetap saja tidak bisa berubah.",2,kecewa banget foto instagram masuk galeri langsung masuk jam coba ubah
219,"Kamera Instagram saya ketika pakai filter jd blur di bagian muka nya, pdhl klo ga pke filter dan kamera hp bawaan saya itu ga knp², tolong di perbaiki lagi karna dengan aplikasi nya seperti ini saya merasa terganggu.",1,kamera instagram pakai filter blur muka nya pakai filter kamera hp bawa knp tolong baik aplikasi nya ganggu
285,"Tolong lah ig diperbaiki lagi, filter ke muka malah ngeblur jadi kek buronan😭😭😭kecewa bgt makin kesini ig makin ga beres ada aja masalahnya. Kirain dari bawaan hp tapi ternyata banyak juga ngalamin hal yang sama. Kembarannya ig ada ga si mo uninstall aja:))",1,tolong ig baik filter muka ngeblur buronankecewa banget kesini ig beres kirain bawa hp ngalamin kembar ig si uninstall
313,"mohon maaf sebelumnya,kenapa waktu udh di update malahan filternya gabisa di pake?jadi blur dan gajelas bgt,saya kira emg hp saya yg eror,trnyta tmen tmen saya juga ngalamin hal yang sama,tlonggg diperbaikiii secepatnyaaa!!!!",2,mohon maaf sebelumnyakenapa update filter pakejadi blur bgtsaya emang hp erortrnyta teman teman ngalamin samatlonggg diperbaikiii secepatnyaaa
357,"Gimana sih,, abis scroll2 trus keluar audionya masih keputer padahal udah keluar apk. Harus masuk lagi trus keluar apk baru audionya mati.",1,sih habis scroll audio puter apk masuk apk audio mati
203,"developer, kenapa semenjak di update filter yg saya simpan yang awalnya baik² aja kok jadi ancur gituu sih.. padahal filternya bagus tapi semenjak di update jdi serem filternya ga nyatu di wajah, tolong kembalikan Instagram yg dulu",3,developer semenjak update filter simpan baik hancur gituu sih filter bagus semenjak update rem filter nyatu wajah tolong kembali instagram
243,"Instagram tolong untuk diperbaiki lagi,, di first acc saya tidak dapat menggunakan fitur catatan+tidak dapat merepost instastory dengan full, berbeda dengan second acc saya mohon untuk perbaikan nya.",1,instagram tolong baik first acc fitur catatantidak merepost instastory full beda second acc mohon baik nya
284,"sumpah kesel banget, kenapa setiap mau up story tpi storynya ga masuk di archive story? ini bug atau gmna ya? tolong dong diperbaikin dulu. suka kesel bgt klo mau buat story ig tpi suka gaada di archive storynya.",1,sumpah kesel banget up story storynya masuk archive story bug ya tolong diperbaikin suka kesel banget story ig suka archive storynya
287,"Kecewa karna dikit"" update padahal kemarin dah update , terus ketika ada link masuk kenapa ngak bisa y , lain kali tolong di perbaiki lagi dah , sama itu juga lagunya ngak ada , terus kadang macet mohonnya di perbaiki lagi agar pengguna nyaman🙏",1,kecewa update kemarin update taut masuk y kali tolong baik lagu kadang macet mohon baik guna nyaman
450,"bug music di postingan sendiri kadang ga bisa di putar, tema mode gelap hilang, makin berat, tolong di perbaiki",1,bug musik postingan kadang putar tema mode gelap hilang berat tolong baik
340,"tolong dong kenapaaa filter ig sekarang jadi blurr semuaa , tolong diperbaiki dong udah beberapa hari ini . udah uninstal dowload lagi, hapus data, dll semua udah diupayakan tapi tetap saja tidak bisa masih blurrrrr ihh bikin kesal sjaaa",1,tolong kenapaaa filter ig blurr semuaa tolong baik uninstal dowload hapus data lain upaya blurrrrr ihh bikin kesal sjaaa
65,"Tolong pihak Instagram perbaiki bug nya. Semenjak habis update suka bug, filter ig error gbs nyatu sm wajah jadinya blur. Pdhl kondisi kamera baru bbrp hari abis update ga ap², baru akhir² ini hmpir semingguan ttp error trus. ud berkali² install ulang , hps data, hps chache dll , install di store bawaan ttp aja gitu! jd males make filter ig skrg.",1,tolong instagram baik bug nya semenjak habis update suka bug filter ig error nyatu wajah blur kondisi kamera habis update ap akhir minggu ttp error kali install ulang hps data hps chache lain install store bawa ttp malas pakai filter ig
